nume,oras,lat,long
Spitalul de Pneumoftiziologie Sibiu,Sibiu,45.7950982,24.1435651
Cămin – Spital „Dr. Carl Wolff”,Sibiu,45.7977479,24.1398905
Ambulatoriu Clinic de Psihiatrie Pedriatică,Cluj-Napoca,46.7626497,23.5662439
Spitalul Clinic de Urgență București,București,44.45388,26.101545
"Centrul de Recuperare ""Sfântul Nectarie""",Craiova,44.3009723,23.829645
"Spitalul de Psihiatrie ""Dr. Gheorghe Preda""",Sibiu,45.8081347,24.1545286
Spitalul Orășenesc Cisnădie,Cisnădie,45.7087771,24.1454091
Spitalul Băneasa Regina Maria,București,44.4960281,26.0720731
Spitalul Universitar de Urgență București,București,44.4360553,26.0719302
Spitalul Municipal „Costache Nicolescu” Drăgășani,Drăgășani,44.6596017,24.2580992
Spitalul Polizu,București,44.4472576,26.0811162
Spitalul de Psihiatrie Cronici,Dumbrăveni,45.5500118,27.1064108
Medic Line George Cosbuc,București,44.4182398,26.0832364
Royal Hospital,București,44.4057416,26.1370296
Cabinet medical de familie,Sita Buzăului,45.659375,26.0664684
Spitalul Județean de Urgență Giurgiu,Giurgiu,43.8978063,25.9686889
"Spitalul Clinic CF Iasi, Ambulatoriul de specialitate CF Suceava",Suceava,47.6704469,26.2676003
"Spitalul de ingrijiri paliative Ilisesti,",Ilișești,47.5853952,26.0116404
"Spitalul Județean de Urgență ""Sfântul Apostol Andrei""",Galați,45.4187293,28.0196327
Corp tehnic administrativ,Târgu Neamț,47.20806,26.3589206
Magazie centrala,Târgu Neamț,47.2085462,26.3571905
Spitalul Clinic Județean de Urgență Brașov,Brașov,45.6484567,25.6207447
Spitalul Orășenesc Zimnicea,Zimnicea,43.6503688,25.364334
Spitalul Județean Suceava,Suceava,47.6391198,26.2404995
Natisan,Pitești,44.8670072,24.8653438
"""MEDO"" international medical center - 24/24",Brașov,45.6622252,25.5955503
Dispensar Medical,Boldesti,44.8667009,26.5481651
Cabinete Medicale,Galați,45.4304417,28.0191736
Spitalul Județean Vaslui,Vaslui,46.655443,27.7362613
Spitalul de psihiatrie Vadu Lat,Vadu Lat,44.3422268,25.6742269
Kórház,Baraolt,46.0727043,25.5915544
Centrul de Dializă,Caracal,44.1146199,24.3536028
Dr. Levy Medical Center,București,44.4503653,26.0965329
Cabinet Stomatologic TRIDENT,Lugoj,45.6830974,21.9005972
Spital Clinicco,Brașov,45.6573522,25.585149
Spitalul Municipal Toplița,Toplița,46.9224615,25.3560293
Centrul medical TOPMED,Târgu Mureș,46.5376677,24.5739532
Cabinet Dr. Giurgiu Daniela,Timișoara,45.7646351,21.2209739
"Spitalul Clinic de Recuperare, Medicină fizică și balneologie Eforie Nord",Eforie Nord,44.0678321,28.633943
Sanatoriul de copii Techirghiol,Techirghiol,44.0520718,28.5990546
Spitalul Sf. Constantin,Brașov,45.6076953,25.6530705
Dental Lab Bálint – laborator de tehnică dentară,Kézdivásárhely,46.0018856,26.1418258
Fundația Eden Breaza,Breaza,45.17769,25.6620393
Spitalul Orășenesc Câmpeni,Câmpeni,46.3624169,23.0418565
Spitalul de boli cronice Câmpeni,Câmpeni,46.3647951,23.0461062
Secția de Recuperare Medicală Fizică și Balneologie Bușteni,Bușteni,45.4015359,25.5404197
Dispensar policlinic Predeal,Predeal,45.5088504,25.5740897
Cabinet Medical,Ciocănești,47.4797191,25.2783977
Cabinet Medical Veterinar,Ciocănești,47.4836137,25.2738242
Centrul de Îngrijiri Paliative „Sfânta Irina”,Voluntari,44.497301,26.1754403
Policlinica Militară Buzău,Buzău,45.1482672,26.8159636
Policlinica Aleșd,Aleșd,47.0600875,22.3970455
Spitalul clinic de pneumoftiziologie „Leon Daniello” Cluj-Napoca - Secția de Pneumologie -TBC Săvădisla,Săvădisla,46.6746657,23.4565859
Spitalul European Polisano,Sibiu,45.7936988,24.1579366
